Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
633,0.0555559,0,0
634,0.0556062,0,0
635,0.0560982,0,0
636,0.0556294,0,0
637,0.0558324,0,0
638,0.0549659,0,0
639,0.0551332,0,0
640,0.0615617,0.0041516,0.0199181
641,0.0566139,0,0
642,0.0560058,0,0
643,0.0555855,0,0
644,0.0554548,0,0
645,0.055392,0,0
646,0.0564189,0,0
647,0.0555232,0,0
648,0.0554895,0,0
649,0.0554624,0,0
650,0.0608348,0.0041459,0.020227
651,0.0560755,0,0
652,0.0551622,0,0
653,0.0555936,0,0
654,0.0557956,0,0
655,0.0565996,0,0
656,0.0607039,0,0
657,0.0606158,0,0
658,0.0763795,0,0
659,0.062038,0,0
660,0.0600792,0.0074135,0.0200553
661,0.0557448,0,0
662,0.0564461,0,0
663,0.0571931,0,0
664,0.0558089,0,0
665,0.0582736,0,0
666,0.0554186,0,0
667,0.0553892,0,0
668,0.0558414,0,0
669,0.0557371,0,0
670,0.060628,0.0042589,0.0203575
671,0.0552644,0,0
672,0.0553698,0,0
673,0.0552972,0,0
674,0.0555658,0,0
675,0.055207,0,0
676,0.0556623,0,0
677,0.0596176,0,0
678,0.0558036,0,0
679,0.055611,0,0
680,0.0620575,0.0060644,0.0208407
681,0.0566734,0,0
682,0.0568916,0,0
683,0.0564762,0,0
684,0.0554344,0,0
685,0.0590496,0,0
686,0.0561708,0,0
687,0.0580647,0,0
688,0.0566787,0,0
689,0.0555625,0,0
690,0.0634129,0.0066459,0.0207691
691,0.0572264,0,0
692,0.055177,0,0
693,0.0555275,0,0
694,0.0555529,0,0
695,0.0556864,0,0
696,0.0562064,0,0
697,0.0561912,0,0
698,0.0559578,0,0
699,0.0569394,0,0
700,0.0600608,0.0040469,0.0205169
701,0.056254,0,0
702,0.0554674,0,0
703,0.0555559,0,0
704,0.0565922,0,0
705,0.0565496,0,0
706,0.0562108,0,0
707,0.0550779,0,0
708,0.0563417,0,0
709,0.0574781,0,0
710,0.0598638,0.0041564,0.0213472
711,0.0556693,0,0
712,0.0555187,0,0
713,0.0552667,0,0
714,0.0549823,0,0
715,0.0553988,0,0
716,0.0551673,0,0
717,0.0556177,0,0
718,0.0571814,0,0
719,0.0551603,0,0
720,0.0597659,0.0040664,0.0213349
721,0.0556475,0,0
722,0.0556244,0,0
723,0.0555659,0,0
724,0.0559396,0,0
725,0.0570169,0,0
726,0.0572524,0,0
727,0.0553937,0,0
728,0.055598,0,0
729,0.0567361,0,0
730,0.0598443,0.0055423,0.0203368
731,0.0563396,0,0
732,0.0556841,0,0
733,0.0563358,0,0
734,0.0557822,0,0
735,0.0562538,0,0
736,0.0557967,0,0
737,0.0560797,0,0
738,0.055369,0,0
739,0.055579,0,0
740,0.0592347,0.0040501,0.0204856
741,0.0558849,0,0
742,0.0559812,0,0
743,0.05589,0,0
744,0.0587238,0,0
745,0.0558444,0,0
746,0.0562221,0,0
747,0.0555424,0,0
748,0.0557023,0,0
749,0.0560071,0,0
750,0.0653415,0.0042538,0.0204874
751,0.0555971,0,0
752,0.0573656,0,0
753,0.0556773,0,0
754,0.0553217,0,0
755,0.0561028,0,0
756,0.0556,0,0
757,0.056056,0,0
758,0.0555612,0,0
759,0.0593434,0,0
760,0.0631885,0.0042115,0.0209601
761,0.0559611,0,0
762,0.0553659,0,0
763,0.0560704,0,0
764,0.0573458,0,0
765,0.0554412,0,0
766,0.0553122,0,0
767,0.0556615,0,0
768,0.0555839,0,0
769,0.0557187,0,0
770,0.0605497,0.006965,0.020967
771,0.0558018,0,0
772,0.0559913,0,0
773,0.0554547,0,0
774,0.0554272,0,0
775,0.056203,0,0
776,0.05542,0,0
777,0.0553505,0,0
778,0.0572511,0,0
779,0.0565526,0,0
780,0.0611268,0.0040533,0.0213235
781,0.0560667,0,0
782,0.0555409,0,0
783,0.0553607,0,0
784,0.0555088,0,0
785,0.0571654,0,0
786,0.0554261,0,0
787,0.0572211,0,0
788,0.0555434,0,0
789,0.0560714,0,0
790,0.0592658,0.0055393,0.0216218
791,0.0555603,0,0
792,0.0560332,0,0
793,0.0555405,0,0
794,0.0576535,0,0
795,0.0576593,0,0
796,0.0555372,0,0
797,0.0557473,0,0
798,0.0570035,0,0
799,0.0557114,0,0
800,0.0605071,0.0046501,0.0212456
801,0.0556586,0,0
802,0.0561897,0,0
803,0.055508,0,0
804,0.0555656,0,0
805,0.0577716,0,0
806,0.0555795,0,0
807,0.0554266,0,0
808,0.0557644,0,0
809,0.0556311,0,0
810,0.0656728,0.0040607,0.0205235
811,0.0564641,0,0
812,0.0554715,0,0
